music_id	typicality
72	0.010449723868169645
103	0.010399701828126115
222	0.010360037753503453
259	0.010338305173689789
125	0.010337997371432709
391	0.010318962573007191
543	0.010295465687579872
488	0.010286913953298308
438	0.01028341758074621
434	0.010278220065394732
605	0.010269740852976243
598	0.010263029198357492
455	0.010262902536790804
435	0.010261001063480345
553	0.010259765323117625
728	0.010259510133157993
524	0.010258708612728991
29	0.010257834750486371
561	0.010234328429245963
297	0.010232617155074189
256	0.010216722441175134
152	0.010207436117687596
417	0.010205930724206357
139	0.010200561642829516
616	0.010187186082039786
644	0.010172354627636812
389	0.010167205737676092
473	0.010164232843687344
352	0.010163700975935436
279	0.010156517432241129
335	0.010155312546124869
267	0.010148758224736449
408	0.010133334017311802
690	0.010133333502454045
311	0.010128471626246915
611	0.010114884937909496
635	0.010111134331834299
546	0.010104232470244083
495	0.010102803396310292
528	0.010102410941461085
425	0.010094687807068525
118	0.010090395914587436
443	0.010086115311217416
25	0.01007951213967937
464	0.010072053649321159
183	0.010059875018700478
22	0.010057992461902853
255	0.010041743278976533
370	0.010030846541058165
578	0.010024771540937252
483	0.010023543330356962
457	0.010021958723295199
460	0.010019162502934997
312	0.01000452605910052
424	0.009992316588773151
519	0.009978974233045033
419	0.009962849232691319
648	0.00996041950273955
429	0.00994934667574275
307	0.009935411461650981
394	0.009921430495783591
534	0.009916813154382646
210	0.009911315752843784
333	0.00990632713839172
187	0.009893981779489438
16	0.009873742543030115
526	0.009843260543723278
718	0.009836424099613078
363	0.009820844557221462
471	0.00978869521234043
508	0.009788646952044561
448	0.009768602450505133
231	0.009743426933088899
629	0.009711788146035705
131	0.00970298731981315
55	0.009694600810798183
61	0.009676095469300384
497	0.009665251078426806
241	0.009631401433096081
403	0.009617767164032225
375	0.009499584872718077
326	0.009429094176228612
380	0.009394293346353867
685	0.00939053538551432
705	0.009267101235521494
372	0.009236043605537517
654	0.009230563994637947
293	0.009227684385367287
166	0.009207754725026662
319	0.009129882751916394
348	0.009026359371053538
9	0.008983547245070432
666	0.008836705695831474
397	0.008818949062336502
40	0.008782286271754444
588	0.008744431322969369
723	0.008715209280475223
89	0.008362941811630522
627	0.008355370428103482
388	0.008277605330984102
671	0.007843526707977014
310	0.00705591545513875
